Time [s],Packet ID,MOSI,MISO
9.0267357400,12943,0x07,
9.0267451600,12943,0x2E,
9.0267609800,12944,0x27,
9.0267708400,12944,0x2E,
9.0267854200,12945,0xE1,
9.0267952600,12945,0x00,
9.0268098400,12946,0x20,
9.0268198800,12946,0x8F,
9.0317259400,12947,0x07,
9.0317353400,12947,0x0E,
9.0317529200,12948,0x20,
9.0317629600,12948,0x8E,
9.0321494800,12949,0x25,
9.0321593200,12949,0x38,
9.0322531400,12950,0xA0,
9.0322660200,12950,0xC0,
9.0322789200,12950,0xB6,
9.0322918200,12950,0xDE,
9.0323047000,12950,0x24,
9.0323176000,12950,0x7D,
9.0323303200,12950,0x7D,
9.0323485000,12950,0x7D,
9.0323612000,12950,0x7D,
9.0323739000,12950,0x20,
9.0323868000,12950,0x20,
9.0323997000,12950,0x20,
9.0324125800,12950,0x40,
9.0324254800,12950,0x82,
9.0324383800,12950,0x26,
9.0324512600,12950,0x40,
9.0324641600,12950,0x04,
9.0324825400,12950,0x40,
9.0324954200,12950,0x21,
9.0325081400,12950,0x00,
9.0325210200,12950,0x00,
9.0325339200,12950,0x00,
9.0325468200,12950,0x00,
9.0325597000,12950,0x00,
9.0325726000,12950,0x00,
9.0337271400,12951,0x07,
9.0337365400,12951,0x2E,
9.0337523600,12952,0x27,
9.0337622000,12952,0x2E,
9.0337767800,12953,0xE1,
9.0337866200,12953,0x00,
9.0338011800,12954,0x20,
9.0338112200,12954,0x8F,
9.0387179400,12955,0x07,
9.0387273400,12955,0x0E,
9.0387449000,12956,0x20,
9.0387549400,12956,0x8E,
9.0391441400,12957,0x25,
9.0391539800,12957,0x38,
9.0392477800,12958,0xA0,
9.0392606800,12958,0x80,
9.0392735800,12958,0xB6,
9.0392864800,12958,0xDE,
9.0392993800,12958,0x24,
9.0393122800,12958,0x7D,
9.0393249800,12958,0x7D,
9.0393431800,12958,0x7D,
9.0393558800,12958,0x7D,
9.0393686000,12958,0x20,
9.0393814800,12958,0x20,
9.0393943800,12958,0x20,
9.0394072800,12958,0x40,
9.0394201600,12958,0xC2,
9.0394330600,12958,0x26,
9.0394459600,12958,0x40,
9.0394643200,12958,0x04,
9.0394772200,12958,0x40,
9.0394901000,12958,0x21,
9.0395028000,12958,0x00,
9.0395157000,12958,0x00,
9.0395285800,12958,0x00,
9.0395414800,12958,0x00,
9.0395543600,12958,0x00,
9.0395672600,12958,0x00,
9.0408502600,12959,0x07,
9.0408596600,12959,0x2E,
9.0408754800,12960,0x27,
9.0408853200,12960,0x2E,
9.0408998800,12961,0xE1,
9.0409097200,12961,0x00,
9.0409243000,12962,0x20,
9.0409343200,12962,0x8F,
9.0458461800,12963,0x07,
9.0458556000,12963,0x0E,
9.0458731600,12964,0x20,
9.0458831800,12964,0x8E,
9.0460910000,12965,0x25,
9.0461008400,12965,0x3E,
9.0461886000,12966,0xA0,
9.0462075400,12966,0xC0,
9.0462204400,12966,0xB6,
9.0462333400,12966,0xDE,
9.0462462400,12966,0x24,
9.0462591400,12966,0x7D,
9.0462718400,12966,0x7D,
9.0462845600,12966,0x7D,
9.0462972600,12966,0x7D,
9.0463099800,12966,0x20,
9.0463283400,12966,0x20,
9.0463412400,12966,0x20,
9.0463541400,12966,0x40,
9.0463670400,12966,0x82,
9.0463799400,12966,0x26,
9.0463928400,12966,0x40,
9.0464057400,12966,0x04,
9.0464186400,12966,0x40,
9.0464315400,12966,0x21,
9.0464442600,12966,0x00,
9.0464626400,12966,0x00,
9.0464755200,12966,0x00,
9.0464884200,12966,0x00,
9.0465013200,12966,0x00,
9.0465142200,12966,0x00,
9.0477515200,12967,0x07,
9.0477609200,12967,0x2E,
9.0477767600,12968,0x27,
9.0477866000,12968,0x2E,
9.0478011600,12969,0xE1,
9.0478110200,12969,0x00,
9.0478310800,12970,0x20,
9.0478411200,12970,0x8F,
9.0527086400,12971,0x07,
9.0527180600,12971,0x0E,
9.0527356200,12972,0x20,
9.0527456400,12972,0x8E,
9.0530874400,12973,0x25,
9.0530972800,12973,0x3E,
9.0531850600,12974,0xA0,
9.0532039800,12974,0x80,
9.0532168800,12974,0xB6,
9.0532297800,12974,0xDE,
9.0532426600,12974,0x24,
9.0532555600,12974,0x7D,
9.0532682600,12974,0x7D,
9.0532809600,12974,0x7D,
9.0532936800,12974,0x7D,
9.0533063800,12974,0x20,
9.0533247400,12974,0x20,
9.0533376400,12974,0x20,
9.0533505400,12974,0x40,
9.0533634200,12974,0xC2,
9.0533763200,12974,0x26,
9.0533892000,12974,0x40,
9.0534021000,12974,0x04,
9.0534150000,12974,0x40,
9.0534278800,12974,0x21,
9.0534460800,12974,0x00,
9.0534589600,12974,0x00,
9.0534718600,12974,0x00,
9.0534847600,12974,0x00,
9.0534976600,12974,0x00,
9.0535105400,12974,0x00,
9.0546952000,12975,0x07,
9.0547046000,12975,0x2E,
9.0547204200,12976,0x27,
9.0547302600,12976,0x2E,
9.0547448400,12977,0xE1,
9.0547546800,12977,0x00,
9.0547692600,12978,0x20,
9.0547793000,12978,0x8F,
9.0597072200,12979,0x07,
9.0597166200,12979,0x0E,
9.0597341800,12980,0x20,
9.0597442200,12980,0x8E,
9.0600758600,12981,0x25,
9.0600857200,12981,0x46,
9.0601735200,12982,0xA0,
9.0601924600,12982,0xC0,
9.0602053400,12982,0xB6,
9.0602182400,12982,0xDE,
9.0602311400,12982,0x24,
9.0602440400,12982,0x7D,
9.0602567400,12982,0x7D,
9.0602694400,12982,0x7D,
9.0602821400,12982,0x7D,
9.0602948600,12982,0x20,
9.0603132200,12982,0x20,
9.0603261200,12982,0x20,
9.0603390200,12982,0x40,
9.0603519200,12982,0x82,
9.0603648200,12982,0x26,
9.0603777200,12982,0x40,
9.0603906200,12982,0x04,
9.0604035000,12982,0x40,
9.0604164000,12982,0x21,
9.0604345800,12982,0x00,
9.0604474800,12982,0x00,
9.0604603800,12982,0x00,
9.0604733000,12982,0x00,
9.0604862000,12982,0x00,
9.0604991000,12982,0x00,
9.0616957200,12983,0x07,
9.0617051200,12983,0x2E,
9.0617209400,12984,0x27,
9.0617308000,12984,0x2E,
9.0617453600,12985,0xE1,
9.0617552000,12985,0x00,
9.0617698000,12986,0x20,
9.0617798200,12986,0x8F,
9.0666980800,12987,0x07,
9.0667074800,12987,0x0E,
9.0667250600,12988,0x20,
9.0667350800,12988,0x8E,
9.0670613600,12989,0x25,
9.0670712000,12989,0x46,
9.0671589800,12990,0xA0,
9.0671779200,12990,0x80,
9.0671908200,12990,0xB6,
9.0672037200,12990,0xDE,
9.0672166200,12990,0x24,
9.0672295200,12990,0x7D,
9.0672422200,12990,0x7D,
9.0672549200,12990,0x7D,
9.0672676400,12990,0x7D,
9.0672803400,12990,0x20,
9.0672932400,12990,0x20,
9.0673116200,12990,0x20,
9.0673245000,12990,0x40,
9.0673374000,12990,0xC2,
9.0673503000,12990,0x26,
9.0673632000,12990,0x40,
9.0673760800,12990,0x04,
9.0673889800,12990,0x40,
9.0674018600,12990,0x21,
9.0674145800,12990,0x00,
9.0674329400,12990,0x00,
9.0674458400,12990,0x00,
9.0674587200,12990,0x00,
9.0674716200,12990,0x00,
9.0674845200,12990,0x00,
9.0686859800,12991,0x07,
9.0686953800,12991,0x2E,
9.0687112000,12992,0x27,
9.0687210400,12992,0x2E,
9.0687356200,12993,0xE1,
9.0687454600,12993,0x00,
9.0687600400,12994,0x20,
9.0687700600,12994,0x8F,
9.0736885000,12995,0x07,
9.0736979000,12995,0x0E,
9.0737154600,12996,0x20,
9.0737254800,12996,0x8E,
9.0740545200,12997,0x25,
9.0740643600,12997,0x40,
9.0741521400,12998,0xA0,
9.0741710600,12998,0xC0,
9.0741839600,12998,0xB6,
9.0741968600,12998,0xDE,
9.0742097400,12998,0x24,
9.0742226200,12998,0x7D,
9.0742353400,12998,0x7D,
9.0742480400,12998,0x7D,
9.0742607400,12998,0x7D,
9.0742734600,12998,0x20,
9.0742918400,12998,0x20,
9.0743047200,12998,0x20,
9.0743176200,12998,0x40,
9.0743305200,12998,0x82,
9.0743434200,12998,0x26,
9.0743563200,12998,0x40,
9.0743692200,12998,0x04,
9.0743821200,12998,0x40,
9.0743950000,12998,0x21,
9.0744077200,12998,0x00,
9.0744261000,12998,0x00,
9.0744389800,12998,0x00,
9.0744518800,12998,0x00,
9.0744647800,12998,0x00,
9.0744776800,12998,0x00,
9.0756802600,12999,0x07,
9.0756896600,12999,0x2E,
9.0757054800,13000,0x27,
9.0757153200,13000,0x2E,
9.0757298800,13001,0xE1,
9.0757397200,13001,0x00,
9.0757542800,13002,0x20,
9.0757643200,13002,0x8F,
9.0806751800,13003,0x07,
9.0806845800,13003,0x0E,
9.0807021400,13004,0x20,
9.0807121600,13004,0x8E,
9.0810417600,13005,0x25,
9.0810516200,13005,0x40,
9.0811393800,13006,0xA0,
